.	clusterCut
TCGA_DX_A48N_01	1
TCGA_DX_A23Z_01	1
TCGA_DX_A2J0_01	1
TCGA_DX_A1KW_01	1
TCGA_DX_A1L0_01	1
TCGA_3B_A9HL_01	1
TCGA_DX_AB35_01	1
TCGA_DX_AB2F_01	1
TCGA_DX_A3M1_01	1
TCGA_DX_A23R_01	1
TCGA_DX_AB3A_01	1
TCGA_DX_A3LW_01	1
TCGA_QQ_A5VA_01	1
TCGA_Z4_AAPF_01	1
TCGA_K1_A6RT_01	1
TCGA_DX_A48K_01	1
TCGA_FX_A3TO_01	1
TCGA_DX_A8BU_01	1
TCGA_QQ_A8VF_01	1
TCGA_DX_AB36_01	1
TCGA_LI_A67I_01	1
TCGA_X9_A973_01	1
TCGA_DX_A1KU_01	1
TCGA_DX_A3LS_01	1
TCGA_DX_A2J4_01	1
TCGA_DX_A7ES_01	1
TCGA_3B_A9HJ_01	1
TCGA_DX_A6BE_01	1
TCGA_DX_A3U6_01	1
TCGA_3B_A9HS_01	1
TCGA_DX_A6BH_01	1
TCGA_FX_A3NK_01	1
TCGA_SI_A71O_06	1
TCGA_DX_A23U_01	1
TCGA_WK_A8XO_01	1
TCGA_DX_A1L4_01	1
TCGA_DX_A6BG_01	1
