rowname,logFC,AveExpr,t,P.Value,adj.P.Val,B
MNS1,-0.2586990887161618,7.3411507575757575,-2.0073163004448324,0.045738361184710905,0.07237617967643864,-5.507245429850636
REP15,0.8527808898418651,4.162300757575758,5.346355883484329,1.9478427562763992e-7,7.848716739225609e-7,6.068609946001894
HAGHL,0.35992305012061077,5.640006818181818,1.7463871528033013,0.08191043627884932,0.12153955310817986,-5.9908586320862725
POLR2J4,0.07608866255695566,7.987169696969697,1.0215246205113309,0.3079440469632302,0.3860111908752666,-6.987112644179302
SNORD22,0.10307945590994327,0.2826867424242424,1.5709717611971146,0.11739067356400322,0.16729352549416812,-6.279030974052164
DPRX,0.09655395336370969,0.17335151515151515,1.8461933988664363,0.06598700401593742,0.10026000536169297,-5.813608441665588
KRTAP4-11,0.01161384347359948,0.043344318181818185,0.4587413407016154,0.6467985434787968,0.7156439826256911,-7.403003445143659
OR14J1,-0.0054976413830072545,0.008391666666666667,-0.4056544487231717,0.6853261124759605,0.7499464361777874,-7.425950354975811
KRTAP4-12,0.02297145537389438,0.06705833333333333,0.4126628843875735,0.6801895978106058,0.7455177215873011,-7.423082215199376
FAM53B,0.32126153846153915,9.935925757575758,2.9171014191577154,0.003837923325204397,0.00766092035648481,-3.317552668296768
FAM53C,-0.8181893460198332,10.204470833333334,-12.249166876237512,1.3370526717107349e-27,5.371759559730212e-26,51.86161592095286
FAM82B,-0.384149892790136,9.339007196969696,-4.674927080458548,4.701480375320244e-6,1.537454477625432e-5,2.996669106099082
FAM53A,0.050735379254890675,5.2266022727272725,0.353088363141502,0.7243048435016453,0.7848611019259357,-7.445898174440984
KRTAP26-1,0.006798418654516246,0.027841666666666667,0.16493585640665753,0.8691210857123872,0.9109642053236999,-7.494658758174679
C10orf105,0.2844579871348147,4.836395075757576,1.363642935501641,0.1738452390587682,0.23603219085222613,-6.581011466551688
SNORD27,0,0,0,1,1,-7.508271390999081
C10orf107,-1.122633328866256,2.9430170454545452,-4.641328145799886,5.4661926833735255e-6,1.7703255369878292e-5,2.851995778411702
SDS,0.5451492629321892,5.70876893939394,1.9390419663109233,0.05356508882366684,0.08335414792313199,-5.640104043371988
CYCSP52,-0.05021228893058136,0.06626931818181818,-1.7891854091582649,0.07473484798592782,0.11184621877468277,-5.916028292590312
C10orf108,-4.327635151433927,3.5375655303030302,-19.968238293448746,1.2383833387720349e-54,4.889232681728823e-52,113.72762363412814
SFRS8,0.12062815599035338,9.963970075757576,1.8767738072902618,0.06165548156355697,0.09446876904991601,-5.757378340675141
ANO10,-0.7126520905923327,9.602839772727274,-9.461718086792414,1.7857471668681812e-18,2.871568120743526e-17,31.03399121400017
POGZ,-0.2979801527740552,10.747729166666666,-3.2430095614881704,0.0013354359230406062,0.002907678385833455,-2.3480432774377684
ACRC,0.23285075046904286,4.33474053030303,1.9381892471996098,0.05366954576248022,0.08349138247357119,-5.641735163218839
GSTCD,0.07202295631198173,7.300953409090909,0.755167070240755,0.4508240321341832,0.5316455499864886,-7.223202998135646
LDB1,-0.11304648887697556,9.932692045454546,-1.1200290536572193,0.2637224774316451,0.3386428860189939,-6.882008049073461
PRUNE2,-4.319639091396406,10.537301136363636,-17.58974618636673,2.5202861905303517e-46,4.881271272791332e-44,94.70920991891441
SFRS6,0.09366180648619729,11.189789393939394,1.3274498104237082,0.1855102817200911,0.24987049492937083,-6.629417825133171
SIGLEC12,0.7115066202090599,3.113230303030303,2.6907038754436177,0.007586532106670943,0.014293062691562308,-3.93437104969982
TMOD3,0.43996801125703594,10.4121125,4.5875046261609995,6.946584162567044e-6,2.2154714521521755e-5,2.6220845576439835
CRIM1,-0.004713776467434381,10.463467424242424,-0.03160226490159706,0.974813190353146,0.9956674028830889,-7.507771621124499
KCNK6,-1.2312889841865433,7.664128787878788,-6.770518287873927,8.329125692410676e-11,5.345325116136017e-10,13.633232654965536
PABPC4L,-0.724235499865987,6.175592045454546,-3.0706908067987504,0.0023593008491043146,0.0049054533554903365,-2.8725480320346737
PARG,0.10307019565800088,8.535996212121212,1.428350458614877,0.15437669237493087,0.21295847374124324,-6.4912709925672285
AOC3,-3.5061522916108285,10.233903030303031,-14.323058714946063,8.548044817650974e-35,6.245244131899448e-33,68.31616462874796
AOC2,-0.21804283034039024,3.9648045454545455,-1.4360643439268477,0.15217160186048106,0.21036179288907658,-6.480299600424355
TIMP3,1.2060571294559093,13.4065375,6.358229054909053,8.970328354476589e-10,4.986754430473988e-9,11.307034173782135
PEX11G,-0.13732932189761493,6.000061363636363,-1.054729008835441,0.2925166027315702,0.3696292148753085,-6.952754487271199
EPX,-0.26440639238809993,0.8283344696969697,-2.7890668569907215,0.0056721022652777685,0.01096086779990141,-3.6721463710205096
PARS2,-0.13284261592066435,7.148666666666666,-1.9218579202961175,0.055703351261954415,0.08629563850044704,-5.672839890458324
NRCAM,0.5943774189225411,5.532166287878788,1.8908488828146646,0.05974286547598895,0.09182608581433353,-5.731195412454456
MLH3,-0.09597752613240512,8.643589772727273,-1.1059530354280542,0.26975680183044237,0.3452900518473086,-6.897614007805507
PARL,0.25983689359421097,9.770895833333334,3.78919231618147,1.8738000552307555e-4,4.7491012855931314e-4,-0.5129592645096199
MCF2L2,-0.04102527472527367,3.3706674242424244,-0.19712301324578774,0.8438834270149508,0.8898267466161757,-7.4888277771978045
TNFAIP8L1,0.5268981506298583,7.6666257575757575,3.898687021741941,1.2280544062559696e-4,3.214170953650568e-4,-0.11417826288332389
KCNK1,-0.7944574376842667,6.914064393939394,-2.963104007520325,0.003324266771460743,0.006709319388329637,-3.1865045311185485
EPO,-0.22902266148485548,1.435903409090909,-1.4122262648163537,0.1590647065994626,0.21874194028313798,-6.514016359304285
PI4K2B,-0.14125134012328924,9.093124621212121,-1.335617574155455,0.1828282338183027,0.24671116342117488,-6.618606095887124
KCNK2,1.9936435138032698,4.931493560606061,5.23604493935771,3.3596864265223846e-7,1.3063326200095559e-6,5.540782014244343
PI4K2A,0.7776347493969448,10.231106439393939,10.069764764189282,2.1873274732942903e-20,4.2484231813369704e-019,35.39082908584069
HIBADH,-0.19331407129455785,9.89975606060606,-2.5132183054054025,0.01256152400748644,0.022532816764848983,-4.384930500556691
KCNK3,-4.4093221522379995,4.823447348484849,-14.599673371341707,9.105396980226414e-36,7.16221455954208e-34,70.54175923462675
NHLRC3,0.4735879388903786,8.968960606060605,6.009620031128043,6.172303888396463e-9,3.058590365164842e-8,9.42415213803254
NHLRC2,-0.1765376172607868,5.8692375,-1.2343840732177085,0.21816088655541244,0.28736321063663656,-6.74798502754203
NHLRC1,0.3336361029214676,5.962575,2.8251977616745645,0.0050871052557582355,0.009929480024787656,-3.573596841789061
CXorf58,-0.3834641785044228,1.0007799242424242,-3.0868061582920046,0.002239337355639801,0.0046821057043777495,-2.8246226616374708
CXorf59,0.3138643259179851,0.2897590909090909,3.1095215057810024,0.002079771359286553,0.004374316771453021,-2.7566735809266243
RPP40,0.8121242964352708,6.715672348484849,7.473382690624233,1.1588969399857794e-12,9.447231127378714e-12,17.829960697362125
NHLRC4,1.3171571964620739,4.463484090909091,7.294504006653071,3.5284424515725362e-12,2.7151020813637245e-11,16.735580318825562
PAFAH1B1,0.24718281961940505,11.710885606060605,4.040933318912245,6.99329070696578e-5,1.9021231877849426e-4,0.4189524891597962
CXorf56,-0.3062727954971857,7.297837878787878,-2.8394832992260612,0.004871349415255614,0.009550114925057081,-3.5343027815414816
CXorf57,0.012186504958455743,4.841098863636364,0.03926783295365087,0.9687066238399455,0.9911066972707108,-7.507499764603124
