gene	siADNP1	siADNP2	siADNP3	SCR1	SCR2	SCR3
C11orf21	1	1	0	0	0	1
C11orf24	349	370	348	431	444	373
C11orf30	529	547	466	655	771	657
C11orf31	152	164	145	179	229	175
C11orf34	0	0	0	0	0	0
C11orf35	6	12	7	16	12	14
C11orf36	0	0	0	0	0	0
C11orf40	0	0	0	0	0	0
C11orf41	10	6	9	2	6	7
C11orf42	0	0	0	0	0	0
C11orf45	34	35	22	16	23	15
C11orf46	445	466	425	584	702	563
C11orf48	468	450	399	435	513	449
C11orf49	86	118	74	77	97	72
C11orf51	299	324	264	263	267	232
C11orf52	0	0	0	0	0	0
C11orf53	0	0	0	0	0	0
C11orf54	177	212	172	214	256	198
C11orf57	294	337	300	418	418	415
C11orf58	2402	2301	2063	2808	3131	2325
C11orf61	57	82	66	79	91	75
C11orf63	64	62	55	64	93	63
C11orf65	21	10	17	18	30	23
C11orf67	33	30	36	36	55	37
C11orf68	102	101	67	101	110	96
C11orf70	1	0	0	0	0	0
C11orf71	15	24	22	28	36	39
C11orf73	286	329	286	387	414	309
C11orf74	143	178	186	223	226	182
C11orf75	13	26	20	33	28	14
C11orf80	86	101	78	95	113	100
C11orf82	316	357	283	444	500	404
C11orf83	271	277	236	239	325	249
C11orf84	599	640	555	616	756	564
C11orf85	1	0	0	0	0	0
C11orf86	0	0	0	0	0	0
C11orf87	0	0	0	3	0	0
C11orf88	0	0	0	0	0	0
C11orf9	557	632	458	397	444	346
C11orf91	4	0	1	0	0	3
C11orf92	0	0	0	3	0	0
C11orf93	1	0	0	0	0	0
C11orf94	0	0	0	0	1	0
C11orf95	136	167	128	138	166	157
C11orf96	1	0	0	0	0	0
C12orf10	289	297	321	285	338	265
C12orf12	0	1	0	3	4	1
C12orf23	385	457	384	456	488	434
C12orf26	51	49	49	55	59	53
C12orf29	401	477	368	554	571	530
C12orf32	455	414	418	532	634	446
C12orf33	0	0	0	0	0	0
C12orf34	58	61	59	52	60	51
C12orf35	1306	1448	1150	1785	2027	1688
C12orf36	0	0	1	0	0	0
C12orf37	0	0	0	0	0	0
C12orf39	2	0	1	0	0	0
