	8Mod_A_001	8Mod_AA_089	8Mod_AB_091	8Mod_AC_105	8Mod_AD_096	8Mod_AE_098	8Mod_AF_104	8Mod_AG_107	8Mod_AG_107r	8Mod_AH_132	8Mod_AI_113	8Mod_AJ_115	8Mod_AK_117	8Mod_AL_127	8Mod_AL_127r	8Mod_AM_129	8Mod_AN_131	8Mod_AO_138	8Mod_AP_146	8Mod_AQ_150	8Mod_AR_119	8Mod_AS_153	8Mod_AT_159	8Mod_AU_163	8Mod_AV_167	8Mod_AW_169	8Mod_AX_171	8Mod_AY_173	8Mod_AZ_179	8Mod_B_003	8Mod_BA_181	8Mod_BB_183	8Mod_BC_185	8Mod_BD_191	8Mod_BE_193	8Mod_BF_199	8Mod_BG_203	8Mod_BH_207	8Mod_BI_211	8Mod_BJ_215	8Mod_BK_217	8Mod_BL_238	8Mod_BM_221	8Mod_BN_223	8Mod_BO_225	8Mod_BP_227	8Mod_BQ_233	8Mod_BR_240	8Mod_BS_242	8Mod_BT_244	8Mod_BU_248	8Mod_BV_250	8Mod_BW_252	8Mod_BX_254	8Mod_BY_256	8Mod_C_005	8Mod_D_007	8Mod_E_009	8Mod_F_011	8Mod_G_019	8Mod_H_021	8Mod_I_023	8Mod_J_025	8Mod_K_027	8Mod_L_029	8Mod_M_035	8Mod_N_041	8Mod_O_047	8Mod_O_047r	8Mod_P_049	8Mod_Q_063	8Mod_R_055	8Mod_S_057	8Mod_T_059	8Mod_U_060	8Mod_V_065	8Mod_W_069	8Mod_X_086	8Mod_X_087	8Mod_Y_078	8Mod_Z_080
CPXM2	-0.100849287	0.127215114	-0.276182035	-0.73626571	-0.997287395	1.286652343	-1.489669208	-0.001977437	-0.096235267	0.767245557	0.767245557	1.253695059	0.520065932	0.632779841	0.46403855	0.869413135	3.017568865	0.166104708	-0.15358094	0.401419711	-0.164786417	1.119229343	0.812726608	-0.475244026	0.841729017	-0.544454321	-1.203599989	1.074407438	-1.643250149	0.411306896	0.190493098	0.495677542	-0.738902293	1.191735367	0.328254542	-1.469235692	-0.272227161	-1.277424303	0.800861986	1.469894838	1.715097026	-0.833819269	0.289364948	-1.301153547	1.256331642	-1.152845772	0.54775005	-0.463379404	-0.371099011	-0.339460019	0.068551149	-2.477069418	-0.293978968	-1.772442699	-0.272227161	0.551704924	0.067892004	0.68617064	-0.352642932	-0.94785147	0.614323762	-0.652554211	-0.518088495	-1.042768446	-0.431081266	-0.216199779	1.659069645	-0.466675132	-0.520065932	0.147648629	0.299252133	0.630143258	1.225351796	0	-1.337406559	-1.400684543	1.955026049	-2.233844667	0.63739386	0.394828255	-1.416504039
CRISPLD2	-0.457763503	0.931006931	0.573494373	0.002948557	-0.940589742	0.461449199	-0.76441345	-0.093616691	-0.792424744	0.975972428	0.32507843	1.935727792	0.355301141	-0.588974298	-0.924372678	1.52956404	1.956367692	0.616248452	0.524843179	0.499043304	-0.807904669	0.615511312	0.971549593	-0.36635823	0.186496242	-0.901521359	-1.199325635	1.185319988	-1.698368939	0.745247829	-0.148164999	0.395843802	-0.511574672	0.443757856	0.106148059	0	-0.782104793	-0.532214572	0.207136142	0.548431636	1.02683504	-0.18870766	-0.32507843	-1.354124887	0.667111063	-1.044526383	0.520420343	-1.077697651	-0.651631138	-0.176176292	-0.145216441	-1.397616106	-0.369306787	0.013268507	-0.298541415	-0.240307411	-0.08329674	1.137405934	0.580865765	-0.483563378	0.123839402	-1.224388371	-0.783579072	-1.607700805	-0.694385217	0.498306164	1.605489387	-2.223949257	-2.120749755	2.476788036	1.12045173	1.045263522	0.854344444	0.237358853	-2.007230304	-1.434473071	1.687311849	-1.519981229	-0.510837532	1.755128665	0.28306149
CTNNA2	-0.519242437	-0.45611117	0.039151173	0.277483941	0.039151173	0.726254266	2.72149594	0.160519811	0.046492018	0.19184075	-0.112559623	0.020554366	0.078791736	-0.112559623	-0.004404507	-0.339147039	-0.521199996	-0.462962625	1.170620084	-0.293144411	-0.177648449	1.819061394	-0.295591359	-0.187436243	0.076344788	-0.151710797	0.067535774	1.475999237	-0.245673613	-0.105218778	0.129198872	0	2.016774819	0.986609569	0.213863285	0.074876619	0.177648449	-0.577969197	-0.23490704	0.237353989	0.785470416	-0.251056899	-0.322507791	0.399341969	2.033414068	0.2652492	-0.297059528	-0.245673613	-0.247631172	0.092984037	-0.291676242	4.103532361	2.317260075	0.846644125	1.142235484	-0.503581968	0.272590045	-0.345019715	-0.531477179	-0.547627038	-0.457579339	-0.475686757	0.042576901	-0.276015772	-0.287761124	-0.52951962	-0.546648258	1.47110534	1.432932946	-0.358233236	-0.26427042	0.479601874	-0.266717369	-0.330827415	-0.454643001	0.80847173	0.668016896	3.832899875	-0.238332768	-0.38319211	3.494242225
CXCL1	-0.401422646	-0.236868878	0.588851602	0.144261263	-1.595359854	0.223955465	-1.41125149	0.938251644	1.011304662	0.315456215	-0.282250298	-0.548266592	0.653418664	-0.764105055	-1.004663479	0.428725289	0.618367973	2.198231733	-0.12249294	0.867043399	-0.873684583	0	0.201080278	1.038238351	0.867412354	-1.690181196	0.622795429	0.031730099	-0.380761186	-0.298484302	0.285201935	0.379285368	-1.145604151	0.340914085	0.650835981	-0.482961621	-0.690314127	1.656237369	-0.251258108	0.402898465	0.120648167	-1.213860759	-0.552694048	-3.05162381	0.03099219	0.058663787	1.464012003	-0.24424797	2.324414219	-0.542363318	-0.031361144	-1.825218594	-0.931610461	-0.058294833	0.706179177	0.31102876	-0.314718306	-0.406956966	1.000604978	0.718723635	-0.260481974	0.09629716	-0.080432111	1.462536185	-1.453681273	-0.479641029	-0.961126832	-1.142283559	-1.341519063	0.554538821	1.067016813	0.308077123	1.16626561	-0.813544977	-0.080432111	-1.982393269	0.804690065	-2.353561635	0.726471682	1.055948174	-1.80898459
CXCL5	-0.09122597	-0.169160738	2.985687028	-0.165535865	0.952133298	0.656102006	-0.190909976	0.010874619	0.788409869	1.080816288	-0.154661246	0.397527735	1.00408981	0.009666328	-0.121433244	1.742959748	0.96784108	3.511897753	1.161771784	0.691142444	-0.152244664	0.779951832	2.402082482	-0.120829099	-0.124453972	-0.108746189	0.392694571	1.300121102	-0.126870554	-0.184264375	-0.124453972	0.740682375	-0.18366023	-0.017520219	-0.120829099	-0.169764884	-0.119620808	2.458872158	-0.217492378	0.50144076	-0.16493172	-0.166744156	-0.163119283	-0.093038406	-0.152244664	0.004229018	3.331862396	-0.102704734	4.447719122	-0.075518187	-0.151640519	0	-0.114787644	-0.06162284	-0.114787644	1.106794544	0.346175368	0.175806339	0.486337122	0.058602113	0.008458037	0.05497724	-0.1474115	2.464913613	0.306301765	-0.183056084	-0.192118267	0.788409869	1.275955282	1.588298502	1.043963413	0.663351752	-0.129287136	-0.170369029	-0.164327574	-0.179431212	-0.11660008	-0.1341203	2.493912597	1.572590719	-0.148015646
CYP2B7P1	-0.100895308	0.258261871	-1.060906634	0.518029641	-1.310886054	0	-2.003600109	0.672384403	0.777797412	0.868904369	0.103154158	1.287544602	-0.048941754	0.286873973	1.056388934	-1.060153684	-1.941858204	-2.227226277	1.095542337	-0.191249315	1.270226751	0.816950815	2.149672421	0.537606343	0.094871708	1.107589538	1.456958366	-0.486405739	-0.574500896	0.033882753	0.685184554	0.795115263	1.856774847	1.170084393	1.684349284	1.223543847	0.495441139	-0.803397714	0.773279711	1.091024637	0.078306806	2.371792688	0.870410269	-0.164143113	-0.099389408	0.88622222	-0.330545076	-0.113695459	-0.37722798	0.361416029	-0.676902104	-0.184472765	-0.572242045	0.285368073	-0.38325158	1.061659584	-1.01347078	-0.786832812	-0.553418294	-1.865057298	1.551077123	0.051953554	1.00594128	-0.112189559	-0.546641743	0.787585763	-1.048859433	-1.114366088	-0.908057772	-1.480299818	-0.88019862	-0.368192579	0.617419049	-0.861374868	-0.612148399	-0.265791371	-0.258261871	-0.460805437	1.304109504	-1.991552908	-0.047435854
DARC	0.072179189	0.185603629	-0.362958207	-0.749632434	-0.208288517	0.95688982	-1.761172211	0.216537567	0.360895945	-0.489787354	-0.772317322	0.166012135	0.435137396	-1.504420524	0.382549702	0	1.658059084	-0.187665891	0.376362914	-0.849652167	1.088874622	0.104144258	0.37326952	-1.548759169	0.003093394	-1.547728038	-0.899146468	0.277374312	-1.260042413	1.179614174	0.320681825	0.745507909	-1.323972552	-1.999363535	0.106206521	-0.881617237	-3.288277623	-1.121870823	-0.173230054	0.683640033	0.006186788	-0.07321032	-0.443386447	-0.751694697	0.644457044	-0.212413042	-0.408327983	-0.80325126	-0.747570172	-0.645488176	-1.108466116	-0.342335582	-0.487725091	-3.042868381	-0.3165573	-0.238191324	1.144555711	1.244575444	0.987823758	0.346460107	0.577433512	0.939360588	2.613917772	0.110331046	0.019591494	1.315723502	1.146617973	0.055681089	0.003093394	-0.29181015	0.845527642	0.500098666	-0.757881484	0.019591494	-0.839340855	-2.094227611	1.527105412	-0.940391719	-0.130953671	0.41348364	-0.920800225
DLK1	1.077763468	-0.076544538	-0.56037151	-1.311899701	-0.5292625	0.564464801	4.129311759	-0.510433363	-0.634869403	-0.577563332	-0.046254186	-0.669253046	0.054031439	-0.019238467	0.113793484	-0.422018281	0.006958594	-0.919762443	0.18665406	0.398686524	-0.873917586	0.884560142	-0.471956429	0.169871568	0.833803336	-0.580428635	-0.924674392	0.734336369	-0.71632589	0.080637829	0.557096878	1.334412801	0.083093803	0.390090613	0.942275542	-0.499381478	1.270557464	-0.212851122	-0.178467479	-1.578782261	0.469091126	-0.520257261	0.332784542	-0.778134581	1.53048143	0.638144036	-0.350795022	0.670481033	-0.437163457	0.766264038	-0.305768823	-1.65041485	-0.105197574	0.572242054	-0.407282435	-0.430614192	-0.237820195	0.451489975	0.194431313	4.688045953	0.233726905	-0.248053422	1.540714657	-0.246825435	0.048710161	0	0.015145176	-0.797373048	-1.05443171	-0.231680259	0.143265178	0.062627349	-0.997944297	-0.35161368	0.794098415	0.286939685	0.176830163	-0.440028761	1.426511844	2.245579333	-0.666387742
DQX1	-0.194598272	0.232580103	2.905375644	3.265030763	0.082059512	-0.400919331	3.35177939	0.039857477	-1.080372092	-0.143486918	-0.928913678	0.066585433	-0.599737806	-1.137579295	-0.170683785	-0.274782138	0.322611111	0.273375404	-0.260245882	-0.279471253	-0.831848998	-0.605833656	0.261652616	0.014536256	-1.075682977	-0.850136546	2.291101581	-0.505955507	0.113945494	0.446403746	-0.860452599	-0.352621447	-0.812623627	-0.394823482	0.006564761	-1.13289018	0.163181201	-0.716496769	-0.165056847	0.433274224	0.221795139	0.001406734	0.260245882	-0.257432413	0.026259044	-0.347932332	1.610242085	-0.512520268	-1.071462774	0.089562096	1.346713823	-1.092563791	0	-0.900778988	2.424272446	-0.052049176	-0.149113856	-0.335271721	-0.39107219	0.456250888	-0.113007671	0.289787306	0.338554102	0.149113856	0.258839147	-0.052518088	0.110663114	0.907343749	0.907343749	-0.224608608	0.54768863	-0.116290052	-1.101942021	0.129419574	3.093878066	0.088624273	0.159898821	-0.068461079	0.133170866	2.4223968	-0.537372577
EFEMP1	0.152061141	0.556234094	0.075435031	-0.755144359	-2.814917721	0.617773198	-0.813507251	-1.110880082	-1.054105296	0.463329898	-0.023027536	0.751571121	0.346604114	0.009925662	-0.279903666	0.813904277	1.019961019	0.499856334	0.058759919	0.950084359	-0.876237434	0.544720326	0.727749532	-0.646359104	0.375587047	-0.04843723	-2.354367007	0.752365174	-2.083197924	0.59156945	0.133400896	0.637624522	-1.470983097	0	0.330326029	-0.475240693	-0.548690591	-0.656284766	0.140944399	0.869090958	0.927056823	-0.921498453	-0.309283625	-1.851334461	0.641991813	-1.055296375	0.083772587	-0.004764318	-2.436154462	-0.204071609	-0.858371243	-3.359638047	-0.916337108	0.610229695	-0.138165214	-0.836931813	0.267595845	0.998124563	0.886163096	-0.312062811	0.064715316	-0.422833198	-0.364867332	-1.627014502	-0.33469332	-0.024615642	1.527757883	-0.449433972	-0.542735194	0.700751732	0.724176294	0.879810673	1.278822282	0.448242892	-1.467806885	-1.204181304	1.024725337	-2.291239798	0.29181446	0.956039756	-0.169530306
ENPP3	-0.188280414	2.0984708	1.304840326	0.033091709	-1.323668368	0.00342328	2.378609235	0.83071601	0.616760994	-0.185998228	0.673245118	0.058766311	-0.496946185	1.214693946	0.981910888	0.725164869	-0.030238976	-1.300846499	1.299705406	-0.454155181	0.972211594	0.393106683	0.883776854	-0.003993827	0.229930324	-0.113538795	-1.802927604	-0.849544052	1.730468172	1.808633071	-0.407940898	0.643576689	0.259028206	-0.793630474	-1.011008771	-0.484394157	-0.051919751	-1.165056382	-0.073600526	-0.712612841	-0.439320967	-1.52450081	0.807323595	0.188850961	1.345349143	-0.30695413	-1.436636616	0.657840357	-2.016882621	0	2.399148916	-0.750839471	0.317794518	0.619613727	0.160894172	-0.69891972	-1.509666595	0.573399444	-1.263760963	-1.074910002	-0.451872994	0.027956789	1.025272438	-1.428078416	-0.111256608	-0.120385356	-0.314371237	0.56712343	0.449020261	-1.368171011	-0.688649879	0.443314794	1.199859732	0.927138404	-0.067895059	0.585951471	-0.615049354	2.727213275	-0.108974422	-0.379984109	0.778796259
EPHA1	0.778763161	1.405648134	-0.819057375	1.787668272	-0.644707413	-0.147228856	-1.046099769	1.584647428	1.44439257	0.357223699	-0.219293507	1.065471987	-0.195271957	0.252613722	0.068965096	0.10848442	-2.495141671	-1.356830145	1.195653292	-0.252613722	1.519556776	-0.251838833	0.777988273	0.213869286	-0.3502497	1.635015195	0.764040276	-0.678027628	-0.117783085	0.692750514	-0.005424221	1.180155517	0.88259825	-0.615261642	0.752416945	0.881048472	1.006580444	-1.197977958	0.709798066	0.4533099	0	1.232073061	0.686551404	0.740018726	-0.041843991	1.104991312	-1.018978664	0.073614428	-1.728001841	-0.081363315	0.321578818	-0.829905817	-0.076713983	0.194497068	-0.297557268	-0.643157636	-1.097242424	-0.707473399	-0.712122732	-3.000369115	-0.027121105	-0.015497774	0.140254858	-0.764040276	0.664079631	0.559469654	-1.010454888	0.068965096	0.1511033	-2.274298387	-1.788443161	-0.249514167	0.333977037	-1.194103514	-0.017047552	-2.860889146	-0.685776515	0.818282486	-0.061991097	0.032545326	0.244089946
F9	0.492988155	0.166719631	-1.197961217	-0.455341787	-1.632687136	0.161341578	-0.377360024	-0.050643329	0.349125248	0.398424064	0.13221046	0.073500052	-0.505985116	0.05960675	-0.088737868	-1.118186771	-4.534594687	-5.218055539	0.481335708	0	0.181957446	0.54632051	-0.042128079	0.207503196	0.105768368	0.337472801	0.016582329	-0.503744261	-1.121772139	-0.466097892	-0.267558117	0.217362959	0.686149878	-0.060503092	0.502847918	0.49926255	0.097253118	-0.16627146	0.55035405	0.441448485	0.102182999	0.052884184	0.542286971	-3.040840576	0.350469761	0.031820145	-1.880973898	0.063640289	-1.358854625	0.256802012	-0.17075317	-1.309107638	-0.102182999	0.006274395	-0.369741117	-0.580829681	-0.263524578	0.191369038	-0.158204381	-0.987320824	0.502847918	0.383186248	0.446378366	-0.537357089	0.35853684	0.514948537	-0.394838695	0.002240855	0.134899486	-1.416220519	-0.846595114	-0.087841526	0.228567236	-0.152826328	-1.655095689	-1.055890995	-0.066329315	-1.468656532	-0.282795933	-0.970738495	0.214673933
FETUB	-0.112445667	-0.236385781	-1.032501107	-0.373819375	0.0674674	0.335337968	-0.656682698	0.377817443	0.32134473	0.318346179	0.217394957	0.522747414	0.242382883	-0.315347627	-0.411301264	-1.490279913	-4.975595846	-2.937580593	0.587216264	0.435789431	0.587216264	-0.154425383	0.759632954	0.167918863	-0.206900028	1.226907172	-0.307351491	-1.205417555	-2.133469131	0.073964261	0.128937699	0.190407997	0.484765766	0.226390611	0.579719886	0.809109047	0.503256832	-1.06198686	0.580719403	0.231388196	0.159422969	0.683669658	0.531243309	0.616702016	0.257875397	0.411301264	-2.310383648	0.167419105	0.163421037	0.299355355	-0.14193142	-2.775658832	0.094954119	0.139932386	-0.370321065	-0.922554232	-0.919555681	-0.405304161	-0.111945909	-1.642206504	0.544736789	-0.1554249	0.47327132	-0.165420071	-0.440287258	0.396808267	-1.142447982	-0.393309957	-0.358826619	-2.479302028	-1.113961746	0.400806335	-0.501257798	-0.322844005	-1.221409828	-0.919055922	-0.312349076	0	0.198404133	-1.929567654	-0.546735823
FGF7	0.063239359	1.683054519	1.302508903	0.5685995	-0.042714304	1.805095387	-0.147558504	-0.145894311	-0.174740334	0.615751653	-0.175295065	1.736308716	2.073585297	-0.083209683	-0.150886892	1.697477531	2.537340596	1.376288155	-0.175849796	1.803431193	-0.183616034	-0.183061302	1.313048796	-0.185280227	1.057317704	-0.175849796	-0.183061302	1.954872816	-0.148667967	1.481132355	-0.191382271	-0.161981516	-0.151996354	-0.153105816	-0.142565923	-0.039940648	-0.079881296	0	-0.094859038	1.580983975	1.63812129	-0.198593776	-0.169747753	-0.16364571	0.161981516	-0.161426785	-0.198593776	-0.148667967	-0.191382271	1.59263333	-0.198039045	-0.165864635	-0.176404528	1.827839367	-0.175295065	0.027736561	1.530503434	2.937301805	1.921588943	0.093749576	0.404399059	0.24130808	-0.169193022	-0.209688401	0.170857215	0.625736815	3.311745378	-0.18638969	-0.191382271	1.606501611	2.085234653	2.242223588	2.487969518	1.164380829	-0.184725496	-0.15477001	1.861677971	0.226885069	0.336167119	3.171953111	-0.174185603
FOXJ1	-0.624260265	-0.786475679	0.976367656	-0.772637397	-0.823377763	-0.432061908	1.633686038	-1.046327858	-0.799545167	0.292141503	0.317511687	-0.985593177	-0.490490208	0.010763108	0.260620973	-0.425142767	1.631379658	1.872012002	0.358257738	-1.070929248	-1.986562223	0	0.02460139	-0.942540745	-0.455894504	-1.157802905	-1.852792166	0.306748578	-1.074004421	0.123775742	-0.797238787	-0.917939355	-1.994250157	0.776481364	-1.346157296	0.060734681	0.603502842	2.779188249	0.316742893	0.036133291	0.525085913	-0.026138977	0.55583765	-1.256208464	0.762643082	-0.336731522	-0.006919141	-0.08302969	-1.054784586	-1.767456095	0.39669741	0.665006317	0.42591156	-0.700370815	1.202392924	-0.603502842	0.335193935	-0.277534428	0.243707517	2.992912822	0.332887555	-0.726509791	0.129157296	0.059965888	0.092255212	0.520473152	-0.606578016	-0.573519899	-0.18835439	0.548149715	2.46782691	0.621185091	-1.321555906	-0.621953885	1.243138976	-0.219874921	0.408229311	-0.757261528	0.499715729	1.698264686	-0.816458622
GBP7	0.405785958	-0.562896673	-1.374468588	-0.299210854	-0.306716143	0.292205918	-1.303918872	-0.148604722	-0.124587797	0.552889622	0.595419592	0	-0.441310992	-0.48334061	-0.92415125	-3.05765473	-4.313539753	-3.597034832	0.263185467	0.472833206	0.813072973	-0.260183351	0.712001748	-0.118083213	0.178125525	0.821078614	0.05003526	0.032022566	-0.371261628	-0.824581083	-0.572403373	-0.121085329	1.079260555	-0.503855067	0.401783137	0.562896673	0.062544075	-1.012213307	0.38126868	0.480338495	-0.324228484	0.234165016	0.716004569	-0.061043017	0.145602606	0.231663253	-1.113284532	-1.419500322	0.172121294	0.21365056	-0.057040196	-1.70019813	0.743523962	0.687984823	0.057540549	0.344242588	0.194136808	-0.184630109	0.164115652	-1.95237584	0.535877633	0.332734478	-1.464031704	0.528872697	0.493848015	0.15010578	-1.162819439	0.007004936	-0.335736594	-2.060452001	-1.769246789	0.700493638	0.130592028	-0.1636153	-2.04093825	-0.261184056	-0.218654086	-1.027724238	0.21565197	-1.631649824	0.720007389
GCGR	-0.519196127	-0.560713158	-1.021598848	-0.049913734	-2.573122943	0.004198351	-0.171199442	0.071371974	0.268228008	-0.288286798	0.151140651	0.391846133	-0.218780758	-0.364323607	0.290152732	-0.989411487	-2.65149217	-2.957505341	0.513131841	-0.308812072	0.454354921	0.583570849	-0.093763182	0.408173056	-0.127349993	0.98847852	-2.093577913	-0.360591739	-3.132903134	0.072304941	0.543919752	0.521062061	0.763633477	0.345197784	0.845268088	0.878388416	1.140085655	0.266362074	0.974017532	-0.281756029	0.399309869	0.519196127	0.49960382	0.234641197	0.201987352	0.317208775	-1.573448819	-0.031254394	-1.057518077	0.416103275	0.118020324	-2.702338871	0.043382965	0.171199442	-0.5369225	-0.820544463	-1.880394957	-0.74264172	-0.330736796	-1.326679052	0.608760957	0.747306555	0.431030747	-2.317023506	0.221579659	0.545785686	-0.107757687	-0.916173579	-0.605495573	-1.846808146	-0.552782938	-0.478612063	0	-0.26309669	-2.78770535	0.207585154	-0.376918662	0.173531859	0.209917572	-0.957224126	0.285021414
GLS2	-0.12933939	0.277048722	-0.592711813	-0.408262596	-3.284470712	0.511359211	-1.193671356	-0.101971925	-0.038239472	0.481367469	0.499362514	0.03374071	0.170203139	-0.217440134	-0.322036336	-0.509109831	-2.530928179	-1.410361696	0.429631713	0.193821637	0	0.789907521	-1.061707688	0.043862924	-0.078353428	0.82852189	-0.277423619	-0.53835178	-0.235810076	-0.036739885	0.27030058	0.342655659	0.801904218	0.061857969	0.695808429	0.891129652	0.776786134	-0.122591248	0.905000833	0.260178367	0.717177545	0.840893483	0.783159379	-2.736746513	0.439753926	0.503861276	-1.571192416	-0.338906691	-2.363349318	0.762540056	-0.041613543	-2.584913316	0.206943024	0.680062764	0.108720067	-1.795005795	-0.607707685	0.146959539	0.137587119	-0.892254343	0.855514458	0.411261771	0.962734938	-0.987478125	-0.316412885	0.891879446	-1.156181678	0.173202314	0.202819159	-1.258528499	-0.555971929	0.098222957	-0.155957062	0.287920729	-1.135187458	-2.887080123	-0.224563173	-2.069055343	0.724300584	-1.252905047	-1.652919915
GLUL	0.035813794	1.0415845	0	-0.240549314	1.937526239	-0.45662587	1.931557274	-0.558098285	-0.458416559	-0.074015174	-0.213092073	-0.474532767	-0.178472072	0.134301726	-0.334858971	1.34540485	-0.485873801	-0.205929314	0.943096568	1.132909674	-0.261440694	-0.672105529	0.220851728	-0.17011552	-0.073418277	0.177875175	1.174095537	0.26561897	-0.383804489	-0.34381242	-0.336052764	-0.174890693	0.66315208	-0.483486215	-0.649423459	0.071627587	-0.279347591	-0.547354147	0.306207936	-0.165340348	-0.830880014	-0.160565175	-0.735973461	2.649623838	1.997215896	-0.3993238	-0.220851728	0.251293452	-0.292479315	-0.62316001	0.011341035	2.31237728	1.867092445	0.121170002	0.687624839	0.11102276	2.022285551	-0.004775172	0.134301726	0.537803802	-0.525268974	2.077796931	-0.860127945	0.340827937	2.825708323	-0.374254144	-0.234580349	0.984879327	1.030840362	-0.636291735	-0.830880014	0.728810702	-0.333665178	0.339634144	-0.426781042	3.176086605	0.386788972	3.047753844	0.020294483	0.18742552	2.490252456
GNG4	0.180036515	0.072420703	0.190865779	-0.640280237	0.938084998	0.442646168	2.396651499	-0.302542564	-0.592902207	-0.525219306	-0.393237651	-0.568536362	0.418957153	0.408804718	-0.221999913	2.362810049	-0.096786547	0.08798777	-0.718115572	-0.61117659	-0.506944923	-0.542140031	-0.525219306	-0.015567067	-0.458890064	-0.776999695	-0.119121905	0.521158332	-0.490701027	0.331646211	0.051439004	-0.647725356	-0.787828959	-0.177329199	1.147901989	-0.50897541	1.170237346	-0.999676437	-0.779707011	-0.636896092	-0.762109457	1.247395852	-0.422341298	-0.4480608	-0.303896222	-0.098140205	0.232152348	-0.471749815	0.134012143	-0.282237694	0.824377725	3.573657135	2.360779562	-0.762786286	1.698163968	0.387823019	-0.064975584	0.65855462	0.16988408	1.969572398	0.140103604	0.295774274	1.346212887	0.106262153	0.154993842	0.636219263	-0.203048701	2.405450276	2.43658441	-0.046701201	0.506268094	-0.276823062	-0.505591265	-0.204402359	3.940498455	0.075804848	0.877170388	0	0.124536537	0.184097489	-0.032487792
GPC5	0.94527408	-0.468519195	-0.341323554	1.491574782	-0.453877971	2.635420474	0.317531564	0.125365488	-0.167459009	-0.518848406	1.438500342	0.879388568	-0.061310129	3.318067583	3.066421531	1.241758883	1.393661591	-0.32668233	-0.247985746	-0.847360889	-0.72748586	-0.534404707	-0.211382684	-0.544470549	-0.162883627	-0.556366545	-0.183015311	0.88670918	0.075036277	3.178975947	0.863832267	0.547215779	0.460283506	1.731324839	0.214127914	0.08235689	0.257136512	-0.484075497	-0.094252885	1.613279964	-0.336748172	-0.575583152	1.758777136	0.701863717	0.184845464	0.56277208	-0.124450411	-0.752192927	0.983707295	-0.137261483	2.423122714	0.23883498	0.708269252	0.043923675	0.103403651	-0.684477262	-1.002008826	-0.496886569	-1.228947812	-1.251824725	0	-0.277268196	1.680995629	0.141836866	0.577413305	0.328512483	0.146412249	0.632317899	0.740296932	-0.894944869	-0.748532621	-0.328512483	-0.679901879	-0.596629913	0.689967721	-0.247985746	-0.655194812	-0.088762426	-0.758598463	-0.527999171	-0.80984275
GRPR	-0.083912344	-0.408031782	0.317073363	0.561123769	2.425771363	-0.602119113	2.765264055	1.828136116	1.972900924	-0.143483704	0.213303899	-0.38176914	0.992215432	-0.643755009	-0.365755334	-0.266469735	-0.017294911	0.744321712	0.665533786	1.813403414	0.4842575	-0.372160856	-0.230598809	1.093422687	0.233801571	0.1140183	1.196551599	0.846810072	-0.39329908	-0.441340499	-0.014092149	-0.339492691	-0.390736871	0.05124418	-0.55856156	-0.463119275	-0.595713591	0.494506335	-0.590589173	1.461099678	-0.161419167	0.207538928	0.130672659	3.049669253	1.796108503	0.067257986	0.219709421	-0.39329908	0.058930807	-0.239566541	0.286326855	3.7184058	1.211924853	0.630303412	-0.234442123	-0.436856633	1.361814079	-0.545109963	0.122345479	-0.074944613	-0.625819546	-0.084552897	-0.426607797	-0.030105956	0.112737196	0.194087331	0.40162626	-0.164621928	-0.375363617	-0.310027288	-0.413796752	-0.523331187	-0.408672334	-0.147327017	-0.554077695	3.651788366	0	2.291255391	-0.42468614	0.111456091	1.183740554
IGDCC3	0.24705733	0.508021862	-0.816434489	-0.615189114	-0.190610457	-0.010634918	3.561061456	-0.271599449	-0.269145238	-0.617643326	0.313321052	-0.28468858	-0.755079192	-0.601281914	-0.42785094	2.026360952	-0.658546858	-0.503113438	0	-0.386947408	-0.548925393	-0.637277021	-0.468754471	-0.262600672	-0.517838709	-0.294505427	0.149706925	-0.104713041	-0.091623911	0.182429751	0.049902308	-0.606190337	-0.063809509	-2.984321661	-0.121892524	-0.604554196	-0.030268613	-0.794346582	0.122710595	0.500659226	-0.283870509	-0.029450543	0.169340621	-0.105531111	0.490024308	0.121892524	-0.258510319	0.031904755	0.013907201	-0.286324721	2.253784588	0.776349029	0.03926739	-0.398400397	2.742990825	0.29859578	0.03844932	0.585738572	0.407399174	4.388130863	0.040903532	0.616007185	1.368632165	0.715811802	0.625005962	-1.184566273	-0.337863171	0.088351628	0.073626357	0.170158691	0.495750802	-0.011452989	-0.359133007	0.02617826	0.361587219	2.444395045	-0.003272283	1.407081485	0.552197676	0.898241553	1.138754318
IGF2	0.893931288	-0.909859659	-0.502326447	1.178310994	-1.639068276	0.459980289	-0.909082666	0.30613553	0.233098119	0.343042732	0.61227106	-0.428512043	-0.823613355	1.385379823	1.32127784	1.249794417	-0.202406867	-2.345744075	0.421907596	0.029525762	-0.888103835	0.43628198	-0.144909331	-0.018259353	-0.082749832	-1.642953245	-0.594788701	-0.950263334	-2.774644615	0.966191705	-0.253299956	0.844980683	0.081972839	0.110721607	0.827109827	0.650343753	0.958421768	-0.172881105	0.549334568	-1.341479677	0.181428036	-0.381115425	0.499606969	0.43006603	0.777770725	-0.499218472	-1.048941537	-0.884218866	-2.37488134	0.209788307	1.282428154	0.272336303	0	-0.284379706	-0.6445163	-2.327873219	-0.442109433	-0.214061773	-0.454541333	1.385379823	0.502326447	0.653451728	0.504268932	-2.546985452	0.598285173	0.538456656	-1.095949658	-0.88499586	-0.766504316	-0.528744234	-0.425404068	0.004661962	0.71522273	-1.474345605	-2.770371149	0.090908267	0.036518705	-0.44871388	-0.153456262	1.249794417	1.249794417
